1964 481 321
194 124 2 1
195 124 2 1
196 124 2 1
197 124 2 1
198 124 2 1
199 124 2 1
200 124 2 1
259 155 3 0
260 155 3 0
196 194 2 1
261 155 3 0
197 194 2 1
262 155 3 0
198 194 2 1
263 155 3 0
199 194 2 1
264 155 3 0
200 194 2 1
265 155 3 0
201 194 2 1
202 194 2 1
198 264 2 1
192 93 2 1
199 264 2 1
193 93 2 1
200 264 2 1
194 93 2 1
201 264 2 1
195 93 2 1
202 264 2 1
196 93 2 1
203 264 2 1
197 93 2 1
204 264 2 1
198 93 2 1
255 124 3 0
256 124 3 0
257 124 3 0
258 124 3 0
259 124 3 0
260 124 3 0
196 163 2 1
261 124 3 0
197 163 2 1
198 163 2 1
199 163 2 1
200 163 2 1
201 163 2 1
202 163 2 1
197 233 2 1
262 194 3 0
198 233 2 1
263 194 3 0
199 233 2 1
264 194 3 0
200 233 2 1
265 194 3 0
201 233 2 1
266 194 3 0
202 233 2 1
267 194 3 0
203 233 2 1
268 194 3 0
194 132 2 1
195 132 2 1
196 132 2 1
197 132 2 1
198 132 2 1
199 132 2 1
200 132 2 1
196 202 2 1
197 202 2 1
261 163 3 0
198 202 2 1
262 163 3 0
199 202 2 1
263 163 3 0
200 202 2 1
264 163 3 0
201 202 2 1
265 163 3 0
202 202 2 1
266 163 3 0
267 163 3 0
198 272 2 1
199 272 2 1
192 101 2 1
200 272 2 1
193 101 2 1
201 272 2 1
194 101 2 1
202 272 2 1
195 101 2 1
203 272 2 1
196 101 2 1
204 272 2 1
197 101 2 1
198 101 2 1
256 132 3 0
257 132 3 0
258 132 3 0
259 132 3 0
260 132 3 0
196 171 2 1
261 132 3 0
197 171 2 1
262 132 3 0
198 171 2 1
199 171 2 1
200 171 2 1
201 171 2 1
202 171 2 1
197 241 2 1
198 241 2 1
199 241 2 1
200 241 2 1
201 241 2 1
266 202 3 0
202 241 2 1
203 241 2 1
195 140 2 1
196 140 2 1
197 140 2 1
198 140 2 1
199 140 2 1
200 140 2 1
201 140 2 1
196 210 2 1
197 210 2 1
262 171 3 0
198 210 2 1
263 171 3 0
199 210 2 1
264 171 3 0
200 210 2 1
265 171 3 0
201 210 2 1
266 171 3 0
202 210 2 1
267 171 3 0
268 171 3 0
193 109 2 1
194 109 2 1
195 109 2 1
196 109 2 1
197 109 2 1
198 109 2 1
199 109 2 1
257 140 3 0
258 140 3 0
259 140 3 0
260 140 3 0
196 179 2 1
261 140 3 0
197 179 2 1
262 140 3 0
198 179 2 1
263 140 3 0
199 179 2 1
200 179 2 1
201 179 2 1
202 179 2 1
197 249 2 1
198 249 2 1
199 249 2 1
200 249 2 1
201 249 2 1
202 249 2 1
203 249 2 1
195 148 2 1
196 148 2 1
197 148 2 1
198 148 2 1
199 148 2 1
200 148 2 1
201 148 2 1
196 218 2 1
197 218 2 1
262 179 3 0
198 218 2 1
263 179 3 0
199 218 2 1
264 179 3 0
200 218 2 1
265 179 3 0
201 218 2 1
266 179 3 0
202 218 2 1
267 179 3 0
268 179 3 0
193 117 2 1
194 117 2 1
195 117 2 1
196 117 2 1
197 117 2 1
198 117 2 1
199 117 2 1
259 148 3 0
196 187 2 1
260 148 3 0
197 187 2 1
261 148 3 0
198 187 2 1
262 148 3 0
199 187 2 1
263 148 3 0
200 187 2 1
264 148 3 0
201 187 2 1
265 148 3 0
202 187 2 1
197 257 2 1
198 257 2 1
192 86 2 1
199 257 2 1
193 86 2 1
200 257 2 1
194 86 2 1
201 257 2 1
195 86 2 1
202 257 2 1
196 86 2 1
203 257 2 1
197 86 2 1
198 86 2 1
256 117 3 0
257 117 3 0
258 117 3 0
259 117 3 0
260 117 3 0
196 156 2 1
197 156 2 1
198 156 2 1
199 156 2 1
200 156 2 1
201 156 2 1
202 156 2 1
196 226 2 1
197 226 2 1
262 187 3 0
198 226 2 1
263 187 3 0
199 226 2 1
264 187 3 0
200 226 2 1
265 187 3 0
201 226 2 1
266 187 3 0
202 226 2 1
267 187 3 0
268 187 3 0
194 125 2 1
195 125 2 1
196 125 2 1
197 125 2 1
198 125 2 1
199 125 2 1
200 125 2 1
196 195 2 1
260 156 3 0
197 195 2 1
261 156 3 0
198 195 2 1
262 156 3 0
199 195 2 1
263 156 3 0
200 195 2 1
264 156 3 0
201 195 2 1
265 156 3 0
202 195 2 1
266 156 3 0
198 265 2 1
199 265 2 1
192 94 2 1
200 265 2 1
193 94 2 1
201 265 2 1
194 94 2 1
202 265 2 1
195 94 2 1
203 265 2 1
196 94 2 1
204 265 2 1
197 94 2 1
198 94 2 1
