3868 321 481
15 281 3 0
16 281 3 0
17 281 3 0
123 187 2 1
18 281 3 0
124 187 2 1
19 281 3 0
125 187 2 1
20 281 3 0
126 187 2 1
21 281 3 0
127 187 2 1
128 187 2 1
129 187 2 1
105 351 2 1
130 187 2 1
106 351 2 1
107 351 2 1
108 351 2 1
109 351 2 1
110 351 2 1
111 351 2 1
14 164 3 0
15 164 3 0
16 164 3 0
17 164 3 0
18 164 3 0
19 164 3 0
20 164 3 0
119 234 2 1
120 234 2 1
121 234 2 1
97 398 2 1
122 234 2 1
98 398 2 1
17 328 3 0
123 234 2 1
99 398 2 1
18 328 3 0
124 234 2 1
100 398 2 1
19 328 3 0
125 234 2 1
101 398 2 1
20 328 3 0
102 398 2 1
21 328 3 0
103 398 2 1
22 328 3 0
23 328 3 0
15 211 3 0
16 211 3 0
17 211 3 0
74 445 2 1
18 211 3 0
75 445 2 1
19 211 3 0
76 445 2 1
20 211 3 0
77 445 2 1
21 211 3 0
78 445 2 1
79 445 2 1
80 445 2 1
81 445 2 1
82 445 2 1
114 281 2 1
115 281 2 1
116 281 2 1
117 281 2 1
118 281 2 1
119 281 2 1
120 281 2 1
15 258 3 0
16 258 3 0
17 258 3 0
18 258 3 0
19 258 3 0
125 164 2 1
20 258 3 0
126 164 2 1
21 258 3 0
127 164 2 1
128 164 2 1
129 164 2 1
130 164 2 1
131 164 2 1
107 328 2 1
108 328 2 1
109 328 2 1
110 328 2 1
111 328 2 1
112 328 2 1
113 328 2 1
114 328 2 1
15 305 3 0
121 211 2 1
16 305 3 0
122 211 2 1
17 305 3 0
123 211 2 1
18 305 3 0
124 211 2 1
19 305 3 0
125 211 2 1
101 375 2 1
20 305 3 0
126 211 2 1
102 375 2 1
21 305 3 0
127 211 2 1
103 375 2 1
104 375 2 1
105 375 2 1
106 375 2 1
107 375 2 1
14 188 3 0
15 188 3 0
16 188 3 0
17 188 3 0
18 188 3 0
19 188 3 0
20 188 3 0
90 422 2 1
91 422 2 1
116 258 2 1
92 422 2 1
117 258 2 1
93 422 2 1
118 258 2 1
94 422 2 1
119 258 2 1
95 422 2 1
120 258 2 1
96 422 2 1
121 258 2 1
97 422 2 1
122 258 2 1
98 422 2 1
20 352 3 0
21 352 3 0
22 352 3 0
23 352 3 0
24 352 3 0
25 352 3 0
26 352 3 0
15 235 3 0
16 235 3 0
17 235 3 0
18 235 3 0
19 235 3 0
20 235 3 0
21 235 3 0
127 141 2 1
128 141 2 1
129 141 2 1
130 141 2 1
131 141 2 1
132 141 2 1
133 141 2 1
111 305 2 1
112 305 2 1
113 305 2 1
114 305 2 1
115 305 2 1
116 305 2 1
117 305 2 1
15 282 3 0
16 282 3 0
17 282 3 0
123 188 2 1
18 282 3 0
124 188 2 1
19 282 3 0
125 188 2 1
20 282 3 0
126 188 2 1
21 282 3 0
127 188 2 1
128 188 2 1
129 188 2 1
105 352 2 1
106 352 2 1
107 352 2 1
108 352 2 1
109 352 2 1
110 352 2 1
111 352 2 1
14 165 3 0
15 165 3 0
16 165 3 0
17 165 3 0
18 165 3 0
19 165 3 0
20 165 3 0
119 235 2 1
120 235 2 1
121 235 2 1
97 399 2 1
122 235 2 1
98 399 2 1
17 329 3 0
123 235 2 1
99 399 2 1
18 329 3 0
124 235 2 1
100 399 2 1
19 329 3 0
125 235 2 1
101 399 2 1
20 329 3 0
102 399 2 1
21 329 3 0
103 399 2 1
22 329 3 0
23 329 3 0
15 212 3 0
16 212 3 0
